"Source:","/home/paradox/esp-led/v1.1/signal-board/signal-board.sch"
"Date:","Sat 19 Sep 2020 03:24:09 PM PDT"
"Tool:","Eeschema 5.99.0-unknown-5b70856~101~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DigiKey100","DigiKeyPN","Field4","LCSC","Mouser100","MouserPN","Supplier","Supplier Part","digikey part number"
"","","C1","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","0.041","1276-6455-1-ND","","C90545","0.041","80-C0805C106K4PAC","DigiKey","",""
"","","C2","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","0.041","1276-6455-1-ND","","C90545","0.041","80-C0805C106K4PAC","DigiKey","",""
"","","C3","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","C1525","","","","",""
"","","C4","10pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","C32949","","","","",""
"","","C5","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","0.1394","1276-6780-1-ND","","C45783","0.243","81-GRM21BR61C226ME4L","DigiKey","",""
"","","C6","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","0.1394","1276-6780-1-ND","","C45783","0.243","81-GRM21BR61C226ME4L","DigiKey","",""
"","","C7","22uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","0.1394","1276-6780-1-ND","","C45783","0.243","81-GRM21BR61C226ME4L","DigiKey","",""
"","","C8","0.1µF","Device:CP1_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","C1525","","","","",""
"","","C9","0.1µF","Device:CP1_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","C1525","","","","",""
"","","C10","1uF","Device:CP1_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","C282736","","","digikey","311-1365-1-ND",""
"","","C11","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","0.041","1276-6455-1-ND","","C90545","0.041","80-C0805C106K4PAC","DigiKey","",""
