Comment,Designator,Footprint,LCSC
"TestPoint","TP1,TP_GND1,TP2,TP_GND2,TP3,TP_GND3,TP4,TP_GND4,TP5,TP_GND5,TP6,TP_GND6,TP_GND7,TP8,TP_GND8,TP9,TP10,TP11,TP2-3,5V_SW1","TestPoint:TestPoint_Pad_D1.0mm",""
"10uF","C1,C2,C11,C12,C13,C14","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C90545"
"1uF","C10","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C282736"
"100pF","C15","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1790"
"0.1uF","C3","Capacitor_SMD:C_0402_1005Metric","C1525"
"10pF","C4","Capacitor_SMD:C_0402_1005Metric","C32949"
"22uF","C5,C6,C7,C16,C17","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C45783"
"0.1µF","C8,C9","Capacitor_SMD:C_0402_1005Metric","C1525"
"Red LED","D1","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm",""
"Green LED","D2","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm",""
"D","D3,D4","Diode_SMD:D_0603_1608Metric","C10677"
"3A Fuse","F1","Fuse:Fuse_1206_3216Metric","C182445"
"74HCT245","IC1","GlowFlock footprints:SOIC-20W_7.5x10.0mm_P1.27mm","C133641"
"DC Jack - PJ-002AH","J1","GlowFlock footprints:CUI_PJ-002AH",""
"Conn_01x12","J2","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"JST SM","J3","jst-landing-pads:jst-smd-landing",""
"Conn_01x16","J4","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical",""
"switch_jumpers","J5,J6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"1uH","L1","Inductor_SMD:L_Taiyo-Yuden_NR-40xx_HandSoldering",""
"300K","R1,R20,R21","Resistor_SMD:R_0402_1005Metric","C25774"
"100","R10,R11,R12,R13,R14,R15,R16,R17","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17408"
"0","R18,R23","Resistor_SMD:R_0402_1005Metric","C17168"
"4.7k","R19","Resistor_SMD:R_0402_1005Metric","C25900"
"100K","R2","Resistor_SMD:R_0402_1005Metric","C25741"
"15","R22","Resistor_SMD:R_0402_1005Metric","C25083"
"NP","R24","Resistor_SMD:R_0402_1005Metric",""
"1M","R3","Resistor_SMD:R_0402_1005Metric","C26083"
"1K","R4,R6","Resistor_SMD:R_0402_1005Metric","C11702"
"10k","R5,R7","Resistor_SMD:R_0402_1005Metric","C25744"
"680","R8,R9","Resistor_SMD:R_0402_1005Metric","C25130"
"SW_MEC_5G","SW1,SW2","GlowFlock footprints:PTS647SK38SMTR2LFS",""
"TPS63060","U1","Package_SON:Texas_S-PWSON-N10_ThermalVias",""
"ESP32-DEVKITC-32D","U2","GlowFlock footprints:MODULE_ESP32-DEVKITC-32D",""
"TPS2553DBVR","U3","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","C55266"
"TPS22810DBVR","U4","Package_TO_SOT_SMD:SOT-23-6_Handsoldering","C205990"
"74LVC1G32","U5","Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering",""
