Comment,Designator,Footprint,LCSC
"10uF","C1,C2,C11,C12,C13","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C90545"
"1uF","C10","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C282736"
"0.1uF","C3","Capacitor_SMD:C_0402_1005Metric","C1525"
"10pF","C4","Capacitor_SMD:C_0402_1005Metric","C32949"
"22uF","C5,C6,C7","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C45783"
"0.1µF","C8,C9","Capacitor_SMD:C_0402_1005Metric","C1525"
"Red LED","D1","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm",""
"Green LED","D2","LED_THT:LED_D1.8mm_W3.3mm_H2.4mm",""
"74HCT245","IC1","74HCT245:SOIC-20W_7.5x10.0mm_P1.27mm","C133641"
"Jack-DC","J1","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal",""
"Conn_01x12","J2","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"JST SM","J3","jst-landing-pads:jst-smd-landing",""
"Conn_01x16","J4","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical",""
"switch_jumpers","J5,J6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"1uH","L1","Inductor_SMD:L_Taiyo-Yuden_NR-40xx_HandSoldering",""
"1K","R1,R4,R6","Resistor_SMD:R_0402_1005Metric","C11702"
"100","R10,R11,R12,R13,R14,R15,R16,R17","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17408"
"110K","R2","Resistor_SMD:R_0402_1005Metric","C25745"
"1M","R3","Resistor_SMD:R_0402_1005Metric","C26083"
"10k","R5,R7","Resistor_SMD:R_0402_1005Metric","C25744"
"680","R8,R9","Resistor_SMD:R_0402_1005Metric","C25130"
"SW_MEC_5G","SW1,SW2","PTS 647:PTS647SK38SMTR2LFS",""
"TestPoint","TP1","TestPoint:TestPoint_Pad_D1.0mm",""
"TPS63060","U1","Package_SON:Texas_S-PWSON-N10_ThermalVias",""
"ESP32-DEVKITC-32D","U2","MODULE_ESP32-DEVKITC-32D",""
